"Date","Time","Open","High","Low","Close","Vol","OI"
04/15/1994,16:00,900.00,900.00,875.00,875.00,2146,0
04/22/1994,16:00,875.00,925.00,825.00,825.00,455,0
04/29/1994,16:00,825.00,825.00,825.00,825.00,10,0
05/06/1994,16:00,825.00,862.50,800.00,825.00,389,0
05/13/1994,16:00,825.00,825.00,800.00,800.00,27,0
05/20/1994,16:00,800.00,800.00,800.00,800.00,7,0
05/27/1994,16:00,800.00,850.00,750.00,812.50,476,0
06/03/1994,16:00,812.50,825.00,756.80,812.50,105,0
06/10/1994,16:00,750.00,750.00,700.00,700.00,6871,0
06/17/1994,16:00,737.50,750.00,700.00,700.00,8793,0
06/24/1994,16:00,662.50,700.00,550.00,575.00,884,0
07/01/1994,16:00,551.00,600.00,500.00,537.50,1541,0
07/08/1994,16:00,525.00,550.00,462.50,550.00,2194,0
07/15/1994,16:00,490.80,537.50,475.00,512.50,828,0
07/22/1994,16:00,525.00,550.00,500.00,525.00,723,0
07/29/1994,16:00,500.00,525.00,487.50,512.50,333,0
08/05/1994,16:00,512.50,550.00,512.50,550.00,335,0
08/12/1994,16:00,550.00,600.00,550.00,575.00,1270,0
08/19/1994,16:00,600.00,762.50,600.00,762.50,5366,0
08/26/1994,16:00,800.00,800.00,712.50,737.50,276,0
09/02/1994,16:00,737.50,925.00,737.50,850.00,8752,0
09/09/1994,16:00,887.50,900.00,850.00,900.00,9777,0
09/16/1994,16:00,900.00,900.00,850.00,862.50,583,0
09/23/1994,16:00,862.50,862.50,800.00,800.00,243,0
09/30/1994,16:00,812.50,875.00,812.50,825.00,110,0
10/07/1994,16:00,825.00,825.00,787.50,800.00,481,0
10/14/1994,16:00,800.00,800.00,750.00,750.00,158,0
10/21/1994,16:00,750.00,750.00,712.50,712.50,400,0
10/28/1994,16:00,712.50,712.50,712.50,712.50,145,0
11/04/1994,16:00,712.50,712.50,700.00,700.00,175,0
11/11/1994,16:00,700.00,750.00,700.00,750.00,461,0
11/18/1994,16:00,750.00,750.00,650.00,650.00,4935,0
11/25/1994,16:00,675.00,675.00,650.00,662.50,85,0
12/02/1994,16:00,725.00,750.00,700.00,750.00,4382,0
12/09/1994,16:00,700.00,700.00,700.00,700.00,125,0
12/16/1994,16:00,700.00,725.00,700.00,700.00,1334,0
12/23/1994,16:00,700.00,700.00,667.10,667.70,99,0
12/30/1994,16:00,675.00,712.50,650.00,650.00,826,0
01/06/1995,16:00,650.00,675.00,500.00,500.00,179,0
01/13/1995,16:00,512.50,550.00,500.00,550.00,800,0
01/20/1995,16:00,525.00,587.50,525.00,575.00,1847,0
01/27/1995,16:00,600.00,650.00,575.00,600.00,3950,0
02/03/1995,16:00,612.50,650.00,600.00,637.50,1761,0
02/10/1995,16:00,625.00,650.00,625.00,625.00,862,0
02/17/1995,16:00,650.00,650.00,625.00,650.00,2145,0
02/24/1995,16:00,662.50,662.50,625.00,644.10,1760,0
03/03/1995,16:00,637.50,650.00,625.00,625.00,657,0
03/10/1995,16:00,625.00,650.00,625.00,650.00,25,0
03/17/1995,16:00,625.00,637.50,606.70,622.10,299,0
03/24/1995,16:00,600.00,612.50,575.00,612.50,361,0
03/31/1995,16:00,612.50,612.50,575.00,612.50,4441,0
04/07/1995,16:00,612.50,675.00,600.00,675.00,2740,0
04/14/1995,16:00,687.50,687.50,662.50,675.00,235,0
04/21/1995,16:00,662.50,675.00,662.50,675.00,332,0
04/28/1995,16:00,700.00,700.00,612.50,612.50,278,0
05/05/1995,16:00,600.00,694.50,600.00,694.50,1412,0
05/12/1995,16:00,712.50,712.50,675.00,675.00,130,0
05/19/1995,16:00,675.00,687.50,625.00,625.00,578,0
05/26/1995,16:00,625.00,625.00,600.00,600.00,737,0
06/02/1995,16:00,600.00,637.50,600.00,637.50,40,0
06/09/1995,16:00,600.00,637.50,600.00,612.50,1507,0
06/16/1995,16:00,612.50,637.50,537.50,600.00,12133,0
06/23/1995,16:00,625.00,625.00,587.50,600.00,2145,0
06/30/1995,16:00,600.00,612.50,575.00,575.00,2071,0
07/07/1995,16:00,575.00,681.20,575.00,675.00,3134,0
07/14/1995,16:00,687.50,700.00,644.30,650.00,2431,0
07/21/1995,16:00,675.00,675.00,650.00,662.50,1230,0
07/28/1995,16:00,650.00,675.00,650.00,675.00,2244,0
08/04/1995,16:00,650.00,712.50,650.00,712.50,3527,0
08/11/1995,16:00,700.00,700.00,687.50,700.00,561,0
08/18/1995,16:00,725.00,762.50,700.00,762.50,3679,0
08/25/1995,16:00,787.50,937.50,762.50,925.00,1805,0
09/01/1995,16:00,900.00,912.50,887.50,912.50,6664,0
09/08/1995,16:00,912.50,962.50,900.00,962.50,1842,0
09/15/1995,16:00,962.50,1000.00,937.50,962.50,3085,0
09/22/1995,16:00,950.00,950.00,912.50,925.00,2774,0
09/29/1995,16:00,925.00,925.00,875.00,900.00,884,0
10/06/1995,16:00,912.50,937.50,900.00,900.00,2615,0
10/13/1995,16:00,937.50,950.00,900.00,925.00,2666,0
10/20/1995,16:00,937.50,1012.50,925.00,962.50,5429,0
10/27/1995,16:00,975.00,975.00,875.00,875.00,3592,0
11/03/1995,16:00,912.50,912.50,887.50,887.50,230,0
11/10/1995,16:00,912.50,912.50,812.50,837.50,1105,0
11/17/1995,16:00,837.50,887.50,837.50,875.00,1819,0
11/24/1995,16:00,875.00,875.00,837.50,837.50,215,0
12/01/1995,16:00,837.50,887.50,837.50,887.50,1122,0
12/08/1995,16:00,887.50,900.00,850.00,887.50,1078,0
12/15/1995,16:00,887.50,887.50,862.50,869.80,813,0
12/22/1995,16:00,875.00,887.50,837.50,862.50,544,0
12/29/1995,16:00,862.50,900.00,850.00,900.00,1586,0
01/05/1996,16:00,925.00,937.50,887.50,912.50,1312,0
01/12/1996,16:00,912.50,962.50,887.50,962.50,910,0
01/19/1996,16:00,937.50,987.50,925.00,950.00,1914,0
01/26/1996,16:00,975.00,1000.00,962.50,1000.00,1674,0
02/02/1996,16:00,1000.00,1087.50,975.00,1037.50,4002,0
02/09/1996,16:00,1062.50,1087.50,975.00,1000.00,4724,0
02/16/1996,16:00,1000.00,1087.50,1000.00,1062.50,1246,0
02/23/1996,16:00,1050.00,1100.00,1037.50,1056.50,2242,0
03/01/1996,16:00,1050.00,1062.50,987.50,1012.50,451,0
03/08/1996,16:00,987.50,1012.50,962.50,962.50,1631,0
03/15/1996,16:00,962.50,1000.00,950.00,981.50,818,0
03/22/1996,16:00,1000.00,1000.00,925.00,962.50,1308,0
03/29/1996,16:00,956.80,962.50,912.50,937.50,2114,0
04/05/1996,16:00,937.50,962.50,900.00,962.50,3311,0
04/12/1996,16:00,919.30,950.00,912.50,919.50,5638,0
04/19/1996,16:00,912.50,931.30,906.50,931.20,1368,0
04/26/1996,16:00,912.50,950.00,875.00,950.00,1556,0
05/03/1996,16:00,962.50,1000.00,937.50,969.10,1922,0
05/10/1996,16:00,950.00,1087.50,937.50,1075.00,2194,0
