"Date","Time","Open","High","Low","Close","Vol","OI"
12/30/1994,16:00,5.00,5.06,4.63,4.63,90900,0
01/06/1995,16:00,4.88,5.00,4.63,5.00,36500,0
01/13/1995,16:00,5.00,5.75,5.00,5.75,65200,0
01/20/1995,16:00,5.63,5.88,5.50,5.88,72100,0
01/27/1995,16:00,5.88,5.88,5.38,5.88,25300,0
02/03/1995,16:00,5.88,5.88,5.50,5.75,86900,0
02/10/1995,16:00,6.00,7.00,5.88,6.38,391000,0
02/17/1995,16:00,6.38,6.63,6.00,6.25,85300,0
02/24/1995,16:00,6.00,6.38,5.50,5.88,53800,0
03/03/1995,16:00,5.88,6.00,5.25,5.75,104500,0
03/10/1995,16:00,6.13,6.88,6.00,6.50,286300,0
03/17/1995,16:00,6.50,6.88,6.50,6.63,188400,0
03/24/1995,16:00,6.75,6.75,6.38,6.63,93500,0
03/31/1995,16:00,6.50,6.63,6.25,6.25,41200,0
04/07/1995,16:00,6.63,6.63,6.13,6.25,47500,0
04/14/1995,16:00,6.63,6.63,6.25,6.50,48400,0
04/21/1995,16:00,6.38,6.63,5.94,6.25,105400,0
04/28/1995,16:00,6.25,6.38,6.00,6.38,27900,0
05/05/1995,16:00,6.38,6.50,6.00,6.00,101300,0
05/12/1995,16:00,6.25,6.25,5.50,5.63,84700,0
05/19/1995,16:00,5.88,6.13,5.63,6.00,45800,0
05/26/1995,16:00,6.13,6.25,5.88,6.25,172100,0
06/02/1995,16:00,6.25,9.38,6.13,7.63,577900,0
06/09/1995,16:00,7.25,10.75,7.25,9.75,723200,0
06/16/1995,16:00,9.88,13.75,9.50,12.88,1065900,0
06/23/1995,16:00,8.00,10.00,6.25,9.25,1142800,0
06/30/1995,16:00,9.00,10.13,9.00,9.63,247100,0
07/07/1995,16:00,9.63,10.13,8.75,8.88,135700,0
07/14/1995,16:00,9.00,9.25,8.25,8.63,201200,0
07/21/1995,16:00,8.38,8.63,7.75,8.63,170900,0
07/28/1995,16:00,8.63,10.00,8.63,9.50,86500,0
08/04/1995,16:00,9.50,9.50,8.00,8.38,76800,0
08/11/1995,16:00,8.13,9.88,7.88,9.63,118200,0
08/18/1995,16:00,9.75,9.75,9.00,9.00,47100,0
08/25/1995,16:00,9.00,9.38,8.25,8.63,76800,0
09/01/1995,16:00,8.63,9.38,8.38,9.25,75200,0
09/08/1995,16:00,9.00,10.75,9.00,10.25,170300,0
09/15/1995,16:00,10.25,11.50,10.25,10.50,215700,0
09/22/1995,16:00,10.50,11.00,10.00,11.00,168400,0
09/29/1995,16:00,10.63,12.25,10.00,10.25,202600,0
10/06/1995,16:00,10.25,10.25,9.13,9.75,119300,0
10/13/1995,16:00,9.75,10.25,9.50,10.25,69600,0
10/20/1995,16:00,10.00,10.75,10.00,10.50,81500,0
10/27/1995,16:00,10.50,10.50,9.75,10.13,63900,0
11/03/1995,16:00,10.00,11.25,10.00,10.75,106300,0
11/10/1995,16:00,10.75,11.00,9.25,9.88,160800,0
11/17/1995,16:00,10.00,10.25,9.50,9.50,104400,0
11/24/1995,16:00,10.00,10.00,9.25,9.38,12200,0
12/01/1995,16:00,9.63,10.25,9.25,9.88,27000,0
12/08/1995,16:00,9.88,10.50,9.50,9.63,142400,0
12/15/1995,16:00,9.50,9.75,9.25,9.38,30200,0
12/22/1995,16:00,9.25,9.50,8.50,9.00,103300,0
12/29/1995,16:00,8.88,9.50,8.63,9.25,82000,0
01/05/1996,16:00,9.25,10.00,8.88,10.00,113100,0
01/12/1996,16:00,10.00,10.25,9.50,10.00,118500,0
01/19/1996,16:00,9.88,10.00,9.50,9.63,49600,0
01/26/1996,16:00,10.00,10.00,9.50,9.75,32900,0
02/02/1996,16:00,10.00,10.00,9.13,9.50,104800,0
02/09/1996,16:00,9.13,9.75,9.00,9.50,39700,0
02/16/1996,16:00,9.50,10.25,9.50,9.50,46500,0
02/23/1996,16:00,9.75,10.13,9.50,9.75,48300,0
03/01/1996,16:00,9.63,10.13,9.50,9.63,46400,0
03/08/1996,16:00,9.50,9.75,9.13,9.50,87800,0
03/15/1996,16:00,9.13,9.50,9.13,9.50,34800,0
03/22/1996,16:00,9.50,9.50,9.00,9.25,82800,0
03/29/1996,16:00,9.00,9.38,8.63,9.38,149000,0
04/05/1996,16:00,9.38,9.38,9.13,9.38,113100,0
04/12/1996,16:00,9.25,13.00,9.13,11.50,659700,0
04/19/1996,16:00,12.00,15.25,11.50,14.50,657500,0
04/26/1996,16:00,14.38,14.75,11.38,13.50,450900,0
05/03/1996,16:00,13.38,13.75,11.75,13.00,321100,0
05/10/1996,16:00,13.13,13.13,10.50,12.75,866000,0
05/17/1996,16:00,12.75,14.13,12.38,12.63,280900,0
05/24/1996,16:00,12.75,15.38,12.75,14.00,391300,0
05/31/1996,16:00,14.00,14.38,13.50,14.00,192800,0
06/07/1996,16:00,15.13,16.75,14.00,15.63,620200,0
06/14/1996,16:00,16.00,17.00,15.50,16.63,172400,0
06/21/1996,16:00,16.50,20.75,16.50,17.50,460200,0
06/28/1996,16:00,17.88,18.25,16.38,16.38,154900,0
07/05/1996,16:00,16.25,16.50,15.88,16.38,34500,0
07/12/1996,16:00,16.38,17.13,14.38,14.63,215000,0
07/19/1996,16:00,14.75,14.75,11.50,13.50,288100,0
07/26/1996,16:00,13.75,16.00,13.50,14.13,196500,0
08/02/1996,16:00,14.38,14.38,12.38,13.50,136200,0
08/09/1996,16:00,13.50,13.63,12.63,13.38,74500,0
08/16/1996,16:00,13.50,14.63,13.50,14.00,87700,0
08/23/1996,16:00,13.75,14.63,13.38,14.00,71500,0
08/30/1996,16:00,14.25,15.50,14.25,15.13,54100,0
09/06/1996,16:00,14.63,15.00,13.75,14.00,43100,0
09/13/1996,16:00,13.75,15.88,13.50,14.69,409500,0
09/20/1996,16:00,14.88,14.88,12.00,12.50,282900,0
09/27/1996,16:00,12.38,13.63,10.63,12.38,2134300,0
10/04/1996,16:00,12.38,13.63,11.88,12.50,297600,0
10/11/1996,16:00,12.13,12.50,11.25,11.38,451000,0
10/18/1996,16:00,11.38,12.50,11.38,11.38,208600,0
10/25/1996,16:00,11.63,12.00,10.50,11.13,320300,0
11/01/1996,16:00,11.13,12.50,10.75,11.75,276200,0
11/08/1996,16:00,11.75,13.00,11.75,12.75,240600,0
